Flow_ID,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Duration,Total_Fwd_Pkts,Total_Bwd_Pkts,Total_Pkts,F1_PacketRate_RAW,F2_SynRatio_RAW,F3_DistinctPorts_RAW,F4_PayloadLen_RAW,F5_FailRate_RAW,F6_ContextScore_RAW
192.168.234.155-192.168.234.1-38670-80-6,192.168.234.155,192.168.234.1,38670,80,TCP,0.213082,5,4,9,42.2373,0.2000,1.0000,168.0000,0.1111,1.0000
192.168.234.1-192.168.234.255-57621-57621-17,192.168.234.1,192.168.234.255,57621,57621,UDP,30.016577,2,0,2,0.0666,0.0000,1.0000,44.0000,0.0000,0.0000
192.168.234.1-239.255.255.250-63504-1900-17,192.168.234.1,239.255.255.250,63504,1900,UDP,3.027491,4,0,4,1.3212,0.0000,1.0000,170.0000,0.0000,0.0000
