Flow_ID,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Duration,Total_Fwd_Pkts,Total_Bwd_Pkts,Total_Pkts,F1_PacketRate_RAW,F2_SynRatio_RAW,F3_DistinctPorts_RAW,F4_PayloadLen_RAW,F5_FailRate_RAW,F6_ContextScore_RAW
192.168.234.1-192.168.234.255-57621-57621-17,192.168.234.1,192.168.234.255,57621,57621,UDP,0.000000,1,0,1,1.0000,0.0000,1.0000,44.0000,0.0000,0.0000
192.168.234.1-224.0.0.251-5353-5353-17,192.168.234.1,224.0.0.251,5353,5353,UDP,7.675080,7,0,7,0.9120,0.0000,1.0000,0.0000,0.0000,0.0000
192.168.234.155-192.168.234.1-33540-80-6,192.168.234.155,192.168.234.1,33540,80,TCP,0.132265,5,3,8,60.4846,0.2000,1.0000,81.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-33548-80-6,192.168.234.155,192.168.234.1,33548,80,TCP,0.132408,5,3,8,60.4192,0.2000,1.0000,81.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-33550-80-6,192.168.234.155,192.168.234.1,33550,80,TCP,0.130417,5,3,8,61.3418,0.2000,1.0000,81.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-33562-80-6,192.168.234.155,192.168.234.1,33562,80,TCP,0.134716,5,3,8,59.3842,0.2000,1.0000,81.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-33572-80-6,192.168.234.155,192.168.234.1,33572,80,TCP,0.133918,5,3,8,59.7380,0.2000,1.0000,81.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-33584-80-6,192.168.234.155,192.168.234.1,33584,80,TCP,0.132934,5,3,8,60.1803,0.2000,1.0000,81.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-33586-80-6,192.168.234.155,192.168.234.1,33586,80,TCP,0.127212,5,3,8,62.8871,0.2000,1.0000,81.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-33596-80-6,192.168.234.155,192.168.234.1,33596,80,TCP,0.130247,5,3,8,61.4218,0.2000,1.0000,81.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-33606-80-6,192.168.234.155,192.168.234.1,33606,80,TCP,0.128088,5,3,8,62.4571,0.2000,1.0000,81.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-33616-80-6,192.168.234.155,192.168.234.1,33616,80,TCP,0.126972,5,3,8,63.0060,0.2000,1.0000,81.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-33622-80-6,192.168.234.155,192.168.234.1,33622,80,TCP,0.120441,5,3,8,66.4226,0.2000,1.0000,81.0000,0.1250,0.0000
